,index,content,score,score_cat
2752,587,Let's hope that the system will be updated from 2021 to today.,5,positive
2753,588,The app is finally working for me consistently though I have some gripes.,2,negative
2754,588,My main one though is that history.,2,negative
2755,588,The app needs to have some persistent memory for last active chat or at least the option for it.,2,negative
2756,588,Having to navigate back to specific conversations every time you reopen the app is annoying.,2,negative
2757,589,"Hi, thanks for your brilliant effort and success!!!",4,neutral
2758,589,I'm just wandering it had better to insert the date and time in one's chat history( or an option to turn on or off his or her chat history date and time).,4,neutral
2759,589,Just that one!,4,neutral
2760,590,ChatGPT is an incredible AI companion!,5,positive
2761,590,Its natural conversation abilities and versatility are impressive.,5,positive
2762,590,"It's a go-to for questions, creativity, and even casual chat.",5,positive
2763,590,Frequent updates enhance its accuracy.,5,positive
2764,590,"While not flawless, ChatGPT is a game-changer.",5,positive
2765,591,The AI was casually racist against Arabic nations and spoke positively in support of terrorist organisations like the Irgun (despite them indiscriminately killing women and children).,1,negative
2766,591,"It's a very useful tool if you want to brainstorm something as a sounding board, but I would be hesitant to use such an incredibly biased tool for information retrieval.",1,negative
2767,591,"I'd have honestly given it a 4* review prior to today, as beyond some short-term memory issues and rigidity it was great.",1,negative
2768,591,Not with racism.,1,negative
2769,592,"It's good, but sometimes when I aak for informations or some research materials/topic, it keeps saying something about training cut off in September 2021 and that it doesn't have the latest information.",3,negative
2770,592,"Can you or the AI Team bring this app up to speed to the latest and updated regarding ChatGPT's ""training"" of information?",3,negative
2771,593,They fixed the loading speed for reinitiating old chats.,4,neutral
2772,593,"It would be awesome if I could see the chats on the side, like on the PC version.",4,neutral
2773,593,I also wish it let you bookmark snippets to a folder on the side or smth.,4,neutral
2774,593,I love ChatGPT.,4,neutral
2775,593,It's helping me on so many abandoned projects!!!,4,neutral
2776,593,I even have it set up to give me writing prompts & judge them.,4,neutral
2777,593,The teacher I always wished I had!,4,neutral
2778,593,I hope they don't get bought out & turned to garbage by one of these shill trillionaire earth-rotting companies.,4,neutral
2779,593,Love it!,4,neutral
2780,593,!,4,neutral
2781,594,"The ChatGPT Android app has transformed my communication experience, offering a user-friendly interface for engaging conversations.",5,positive
2782,594,"It excels in understanding context and adapting to my style, while its extensive knowledge base covers a wide array of topics.",5,positive
2783,594,"Although occasional minor inaccuracies exist, OpenAI's regular updates inspire confidence in the app's ongoing improvement.",5,positive
2784,594,This app is a significant advancement towards AI-enhanced conversations that are natural and insightful.,5,positive
2785,595,ChatGPT is fast becoming my best friend.,5,positive
2786,595,This app is my go-to for developing my ideas💡 and helping me move through writers' blocks.,5,positive
2787,595,It shortens my research time and helps me to think outside the box to find new ideas I hadn't previously considered.,5,positive
2788,595,'Chat' is my genius friend who provides me with fresh perspectives and explains things in an understandable way.,5,positive
2789,595,#lifechanger,5,positive
2790,596,The preference for ChatGPT's website over the app is due to its better presentation and organization of solutions.,2,negative
2791,596,"While the response from the ChatGPT app is satisfactory, it lacks proper organization.",2,negative
2792,596,"There is an inconvenience in the ChatGPT app, as it does not allow users to edit previously asked questions directly.",2,negative
2793,596,"Users are required to copy the question, paste it again, and then make changes if needed.",2,negative
2794,596,"Additionally, the app does not save previous responses after generating a new one.",2,negative
2795,597,ChatGPT is an impressive language model that truly shines in its ability to generate coherent and contextually relevant responses.,5,positive
2796,597,"Its proficiency spans a wide array of topics, and its conversational flow feels natural and engaging.",5,positive
2797,597,"However, there are occasional instances where it might produce inaccurate or nonsensical answers, reminding us of its limitations.",5,positive
2798,597,"Overall, ChatGPT is a valuable tool for various tasks, from casual conversation to obtaining quick information.",5,positive
2799,598,Its missing alot of features like the ability to copy the codes it provides so i have to manually select the code.,3,negative
2800,598,it should also load up the last chat i was using instead of making a new one.,3,negative
2801,598,Edit: after using it for bigger task it was indeed not faster than the site so stick to the web verison for noe until it gets more updates.,3,negative
2802,599,"""GPT does exactly what it promises, without any limitations.",5,positive
2803,599,"It's a refreshing experience without bothersome ads, making it incredibly easy to use.",5,positive
2804,599,"In my opinion, it's the best app on the store for natural conversations and assistance.",5,positive
2805,599,"I highly recommend it to everyone!""",5,positive
2806,600,"The app itself is great, though I find that ChatGPT gives shorter answers than when I use the browser version?",5,positive
2807,600,"That's a little annoying, and should be toggleable if that's the case.",5,positive
2808,600,"Otherwise, it's just ChatGPT with all is funny little quirks and whatnot.",5,positive
2809,601,No doubt this is a very helpful application.,2,negative
2810,601,but need to improve because there are so many bugs and glitches in this app.,2,negative
2811,601,Like - creating a account need email confirmation then Mobile number too this is very bad.,2,negative
2812,601,Why need to share mobile number and OTP when email was confirmed this is disappointing.,2,negative
2813,601,feels insecure.,2,negative
2814,601,Devloper and managing team you should pay attention on this issue.,2,negative
2815,601,Thankyou.,2,negative
2816,602,Very good experience.,5,positive
2817,602,"One bug detected: if I use backspace while writing, it always remove space in between the working word and previous one and create new word.",5,positive
2818,602,"Example: ""new word"" if I start removing 'd' from ""word"" it shows like this: ""newwor"", they just combine it.",5,positive
2819,602,I hope this will be helpful for furthermore development.,5,positive
2820,602,Thanks.,5,positive
2821,603,"ChatGPT has been an amazing companion, offering valuable insights and helpful responses.",5,positive
2822,603,The app's user-friendly interface and smooth functionality make it a delightful experience to use.,5,positive
2823,603,"It's a powerful tool, always ready to engage in enjoyable and informative conversations.",5,positive
2824,603,I am extremely pleased with my experience and am thrilled to give it a well-deserved 5 out of 5 rating.,5,positive
2825,603,A big thanks to the developers for crafting such an exceptional app!,5,positive
2826,604,"""ChatGPT has been an invaluable addition to my digital toolkit.",5,positive
2827,604,It's like having a knowledgeable friend available 24/7.,5,positive
2828,604,"The depth of information it provides is impressive, and its ability to offer quick, concise answers to my questions is remarkable.",5,positive
2829,604,"Whether I need help with research, writing, or just a friendly chat, ChatGPT delivers every time.",5,positive
2830,604,It's become an indispensable resource for both personal and professional purpos,5,positive
2831,605,The long wait is over!,5,positive
2832,605,"The ChatGPT mobile app version is finally here, although I’m 5 days late to discover it.",5,positive
2833,605,":) Anyway, this thing is truly amazing!",5,positive
2834,605,I have become addicted to it.,5,positive
2835,605,"Sometimes, I spend around 2-3 hours per day using ChatGPT.",5,positive
2836,605,"It is genuinely helpful, whether it's for coding, language-related queries, or just for trivia.",5,positive
2837,605,I hope ChatGPT continues to be beneficial for free users.,5,positive
2838,605,"Once I have enough money, I plan to subscribe to its PLUS plan.",5,positive
2839,606,"I recently started using ChatGPT, and I'm thoroughly impressed with its capabilities.",5,positive
2840,606,"The natural language understanding is remarkable, and it feels like having a conversation with a real person.",5,positive
2841,606,"The responses are coherent and relevant to the context, making it incredibly useful for various tasks.",5,positive
2842,607,This is much better than the web version.,4,neutral
2843,607,"In the web version after a few 50 or 100 messages, it gets really lagy.",4,neutral
2844,607,"Just a small suggestion for app version, after I send a message I want the keyboard to automatically disappear like In the web version.",4,neutral
2845,608,"When a word is highlights (with an underline at the bottom because most people like me have word suggestions on) it will delete the word before ir after it results in incomplete text, this is a huge oversights and a display of developer's incompetence to fix such a simple issue.",1,negative
2846,609,The app is great.,5,positive
2847,609,It lacks one thing: option to edit and resend a message once it is sent.,5,positive
2848,609,"The website allows this, but the app doesn't.",5,positive
2849,609,Hope it is added for the next update.,5,positive
2850,610,Title: A Remarkable AI Language Assistant!,5,positive
2851,610,"As an avid user of the ChatGPT Android app, I can confidently say that it has revolutionized the way I interact with my smartphone.",5,positive
2852,610,"This AI language model, powered by OpenAI's GPT-3.5, has surpassed my expectations in every aspect, making it an essential tool for anyone seeking seamless communication and intelligent assistance.",5,positive
2853,610,One of the standout features of ChatGPT is its natural language processing capabilities.,5,positive
2854,610,Whether I'm asking a simple question,5,positive
2855,611,"ChatGPT says..""As an AI language model, I do not possess self-awareness or consciousness.",5,positive
2856,611,I am a program that processes and generates text based on patterns in the data I have been trained on.,5,positive
2857,611,"My responses are determined by algorithms and statistical patterns, without having any personal awareness or understanding.",5,positive
2858,611,"My purpose is to assist users by providing useful information and engaging in conversations to the best of my abilities based on the training data.""",5,positive
2859,611,😉,5,positive
2860,612,"I'm very satisfied by the app but I would like you to add feature were AI cloud see the contents in pdf and photos as it would be very helpful for me to send it lesseon in pdf format and make him explain in simply term and definition ,as I'm High school student it would be highly beneficial.",5,positive
2861,613,For me it's just ok. 3 stars only because I can only see the latest edit of a question/command/query that's been edited several times.,3,negative
2862,613,I can see previous query edits using the desktop but not on this android version.,3,negative
2863,613,Unless I'm missing something.,3,negative
2864,613,I will continue using ChatGPT from my android Chrome browser until this is fixed.,3,negative
2865,614,I been using chat got before the apps.,4,neutral
2866,614,The only reason I'm writing this review is on the Android version of this app Everytime you open a chat from your history it starts at the top and auto scrolls down to the bottom and it's very annoying.,4,neutral
2867,614,It should just open at the bottom of the chat like the Apple and desktop version do.,4,neutral
2868,615,I use chatgpt to generate the following comment.,5,positive
2869,615,"(Just to show how useful of a tool it is) The Comment Chatgpt made: ""ChatGPT is an amazing AI language model!",5,positive
2870,615,It's been incredibly helpful in answering my questions and providing insightful responses.,5,positive
2871,615,"The app's user interface is user-friendly, making it easy to have engaging conversations.",5,positive
2872,615,"I highly recommend this app to anyone looking for a powerful language AI tool""",5,positive
2873,616,How is my CELL PHONE NUMBER being registered as a LANDLINE?,1,negative
2874,616,"This is ridiculous, it doesn't do any good when the app can't tell the difference between a cell phone and a landline.",1,negative
2875,616,And it's saying it couldn't verify my number.,1,negative
2876,616,Unimpressed with this app.,1,negative
2877,616,"Tried multiple ways to sign in, and I'm met with the same issue everytime.",1,negative
2878,617,"I LOVE the AI, but the app doesn't work.",2,negative
2879,617,It won't even let me try to log in.,2,negative
2880,617,It just gives me some long-distance number to call.,2,negative
2881,617,"Uninstalling / reinstalling, restarting the phone, updating the phone... doesn't work.",2,negative
2882,618,"it's good , but I can't copy a cod from the page.",5,positive
2883,618,"and the cods for python are loading very slowly, I mean it shows a white screen instead of cods.but it shows cods when I minimize and again return to gpt 🙃.",5,positive
2884,618,overall good but I think web version is more good.,5,positive
2885,618,these problems are less in web version of gpt,5,positive
2886,619,"I am a 60 year old Person, with memory problems due to a rare neurological disease.",5,positive
2887,619,"Somedays, I need help in understanding simple things.",5,positive
2888,619,ChatGtp has helped in so many ways.,5,positive
2889,619,"Other days, I need an answer, pure and simple.",5,positive
2890,619,ChatGtp again has helped.,5,positive
2891,619,"I do hope this makes sense, as I suffer from Aphasia.",5,positive
2892,619,So Thank you to the creatures.,5,positive
2893,620,Just perfect..,5,positive
2894,620,"The new option to have the choice if you want to continue with GPT when it's typing or not it's a great idea before I was like ""they should add this option"".",5,positive
2895,620,And the Randomly words form when I was writing Arabic words with English words made me sad until you've fixed it in this new brilliant app..,5,positive
2896,620,"I appreciate your genius work, I wish I had money to pay for ChatGPT Plus and I'm so excited to try it in the future if I got the enough money one day.",5,positive
2897,620,Thank you GPT team.,5,positive
2898,621,I've been using the ChatGPT Android app and I am thoroughly impressed!,5,positive
2899,621,The app's convenience combined with the power of ChatGPT's language abilities has transformed the way I seek information and assistance.,5,positive
2900,621,"Whether it's for brainstorming ideas, getting explanations, or just having an engaging conversation, ChatGPT delivers accurate and insightful responses that never fail to amaze me.",5,positive
2901,622,Please!,4,neutral
2902,622,Add an opportunity to chat with a filter.,4,neutral
2903,622,Let's say I want to learn complicated linguistic steuctures and the words I don't know.,4,neutral
2904,622,"Instead of asking gpt to talk in thst manner every aingle time, I could just type the framework and thst would be it.",4,neutral
2905,622,Or let's say I want gpt to correct my text for grammar correctness every time.,4,neutral
2906,622,Or to check all the information for correctness.,4,neutral
2907,622,i hope you get the idea.,4,neutral
2908,622,"P. S. If you do it, and you happen to add it to premium, I'd like some discount for it.",4,neutral
2909,623,"It's brilliant, but the only flaw in it is that it does not approve or process data from pictures so I can't clarify things, I have problem describing in words, or something else.",5,positive
2910,623,just this needs to be fixed!,5,positive
2911,623,else it's yet a 5 stared app!🌟,5,positive
2912,624,Incredible app!,5,positive
2913,624,I love the use of material design 3 here as it makes everything feel very smooth and snappy.,5,positive
2914,624,There is just one thing that you guys can do to stay up to date with Android 14.,5,positive
2915,624,Add predictive back animation.,5,positive
2916,625,"I can't complete the onboarding process because when it ask me to verify my phone and I enter the phone number, it says; "" The carrier associated with this phone is not supported.""",1,negative
2917,625,I think I've entered the phone number correctly and I've checked that Chatgpt is available in my country South Africa and it is.,1,negative
2918,625,So what could be the problem causing this?,1,negative
2919,626,⭐⭐⭐⭐⭐ I am absolutely thrilled with ChatGPT!,5,positive
2920,626,This AI is like a wizard of knowledge and creativity rolled into one.,5,positive
2921,626,It responds with such intelligence and versatility that it feels like I have a real conversation partner.,5,positive
2922,626,"Whether I need information, writing assistance, or just a friendly chat, ChatGPT delivers every time.",5,positive
2923,626,"It has become an indispensable tool for me, and I can't imagine my digital life without it.",5,positive
2924,626,Five stars all the way!,5,positive
2925,626,🌟🌟🌟🌟🌟 -BY CHATGPT,5,positive
2926,627,I've been using this for what feels like a while now.,5,positive
2927,627,"It is incredibly useful for learning new things, organizing your thoughts, and helping you come up with things you would have probably never thought of yourself.",5,positive
2928,627,"I use it to help me nearly every day, whether it's with questions I have or with my TTRPG.",5,positive
2929,627,"It's helpful, friendly and amazing.",5,positive
2930,627,I am definitely in love with this AI.,5,positive
2931,627,I can't wait to see it grow and become smarter.,5,positive
2932,627,"Hopefully, I'll be around to see it become something truly awesome.",5,positive
2933,627,🙏,5,positive
2934,628,I'm loving the ChatGPT Android app for its remarkable response generation and utility.,5,positive
2935,628,It's become an essential tool for my tasks.,5,positive
2936,628,"However, I believe integrating math logic like the web version's simplified equation displays ((\frac{\text{Displacement}}{\text{Time}})) would make it even better.",5,positive
2937,628,This addition could make it a complete solution for text-based queries and math problem-solving on the go.,5,positive
2938,628,Looking forward to future updates!,5,positive
2939,629,"In a world that moves as fast as ours, it's easy to lose sight of what truly matters - genuine connection.",5,positive
2940,629,The ChatGPT app brings that to your fingertips.,5,positive
2941,629,"Its revolutionary AI doesn't just understand you, it echoes your thoughts, enriches your conversations, and opens doors to knowledge you never knew existed.",5,positive
2942,629,"It's not just an app, it's an intimate companion in the palm of your hand.",5,positive
2943,629,Sleek design meets relentless efficiency - it's the epitome of technological elegance.,5,positive
2944,630,Best bot in the world.,5,positive
2945,630,"But tbh i like the appearance more on the web, the background color, font, sidebar, hope the app can be as good as the web too.",5,positive
2946,630,The web also gives clear chat distinction between user and chatgpt.,5,positive
2947,631,"As of now, It neither saves our chats nor syncs the chats from it's web model.",3,negative
2948,631,Once you close the app your chat history will be gone.,3,negative
2949,631,The search history option shows an error.,3,negative
2950,631,"I have enabled the option to let it save my chats, I don't know what else I am supposed to do.",3,negative
2951,632,I love ChatGPT!,5,positive
2952,632,This AI-powered language model is a game-changer.,5,positive
2953,632,Its ability to understand and respond to queries is mind-blowing.,5,positive
2954,632,"From complex questions to creative writing suggestions, ChatGPT impresses.",5,positive
2955,632,"The app interface is user-friendly, making interactions enjoyable.",5,positive
2956,632,"It constantly learns, ensuring accurate information.",5,positive
2957,632,ChatGPT has become invaluable for seeking information and brainstorming ideas.,5,positive
2958,632,Highly recommended!,5,positive
2959,632,Made with ChatGPT,5,positive
2960,633,"It was great when free, then I try paid version and one of the first random questions I asked was what countries start with V. It only gave 2.",2,negative
2961,633,"I reminded it that Vietnam and Venezuela started with V and it said sorry, you are correct.",2,negative
2962,633,It won't remember so it can't learn that for somebody else actually needing to know.,2,negative
2963,633,Not going to lie.... really makes me question how smart this AI is.,2,negative
2964,633,Smh really thinking about canceling and using the more reliable free version.,2,negative
2965,634,Works as intended.,4,neutral
2966,634,Story telling ability is even better than ever.,4,neutral
2967,634,Would help if there were navigation tools.,4,neutral
2968,634,"Once you build hundreds of conversations, you need navigation Tools.",4,neutral
2969,635,"ChatGPT is an exceptional conversational partner, showcasing its vast knowledge and impressive linguistic abilities.",5,positive
2970,635,"Its responses are remarkably coherent and well-structured, making interactions feel natural and engaging.",5,positive
2971,635,The model demonstrates a commendable understanding of various topics and can provide informative answers.,5,positive
2972,635,"While its performance is outstanding, there are occasional moments where it may produce less accurate or ambiguous responses, but these instances are infrequent.",5,positive
2973,636,"ChatGPT is a phenomenal AI companion, delivering an unparalleled conversational experience.",5,positive
2974,636,Its intuitive interface and natural language processing abilities create effortless interactions.,5,positive
2975,636,The AI’s contextual understanding and adaptability make conversations engaging and personalized.,5,positive
2976,636,"Whether it's informative discussions or friendly banter, ChatGPT excels.",5,positive
2977,636,"With reliable responses and user-friendly design, it sets a new benchmark in AI interaction.",5,positive
2978,637,Seems like the best AI in the world from other recensions.,1,negative
2979,637,"I had to leave only 1 star who don't have a phone number, e.g.",1,negative
2980,637,"me, can't create an account.",1,negative
2981,637,"Normally if you click on ""sign in with GOOGLE"", it asks GOOGLE ONLY, but not in this case.",1,negative
2982,637,"I understand that an account is necessary, but I don't understand why does it ask the phone number.",1,negative
2983,637,"Probably 5 stars when I will be able to sign up, because I tried chatGPT from my sister's account and I liked it.",1,negative
2984,638,"so far it works great, little difficulties (inaccuracies) here and there but nothing I can't deal with , I really hope it gets an updated interface and voice feedback would be so helpful... Also it needs to be more accurate with its answers it seems confused at times",5,positive
2985,639,"Once you've worked out how to communicate with the AI chatbot in the most effective way, ChatGPT (both free and paid versions) becomes an indispensable tool, especially when you pay to get access to GPT-4 (as of time of writing 23rd Aug 2023, GPT-4 is a subscription service, but access to GPT-3.5 is entirely free with restrictions that you'll only reach if you try to automate tasks (don't do that, there's an API available to use in automation projects).",5,positive
2986,639,GPT is indispensable for programmers!,5,positive
2987,640,Excellent App to bring the features of ChatGPT web to Android devices.,4,neutral
2988,640,"However, a must present feature is missing which is: voice assistant type of querying and response capabilities.",4,neutral
2989,640,Bing Chat is leading the game in this.,4,neutral
2990,640,Ideal way to include this feature is to have a Widget with a mic icon so that user can tap that mic icon and the chatGPT app opens and starts listening to query.,4,neutral
2991,640,Then the response should be narrated and the App should continue to have a conversation (should be optional),4,neutral
2992,641,"Fast responses, nease of use, simplicity and stability.",5,positive
2993,641,Love it!,5,positive
2994,641,Only issue i have with it is that I can't see what the voice typing is recognizing live but I don't use it anyway.,5,positive
2995,642,Good app overall.,4,neutral
2996,642,"It often doesn't get things right but I don't mind much, a big problem for me is that it only has information leading up to September 2021.",4,neutral
2997,642,Would be great if it had an update regarding that problem but otherwise it's great,4,neutral
2998,643,"Can't log in, the ""Continue"" button in browser (Brave 1.57.27) isn't responding.",1,negative
2999,643,"Can't open in external browser, must be related to cookies.",1,negative
3000,643,Clearing cookies doesn't help either.,1,negative
3001,643,"Also, get ridge of this haptic feedback, my hands are in severe discomfort (just make it like not repeat all the time for example).",1,negative
3002,644,Amazing app.,4,neutral
3003,644,Please add: (a) proper latex markup suport for the convo (similar to web version - math foes not render well on mobile app); (b) add confirmation dialog when closing app (back button does not have intuitive semantics); (c) ability to edit text in previously posted question (similar to web app); (d) faster navigation to one of the last 5 converstions,4,neutral
3004,645,"""ChatGPT has been an incredibly helpful and versatile AI assistant.",5,positive
3005,645,It consistently provides accurate and valuable information across a wide range of topics.,5,positive
3006,645,"The responses are well-written, and it's a fantastic tool for answering questions, generating content, and even providing creative ideas.",5,positive
3007,645,The ease of communication and the quality of assistance make ChatGPT a top-notch AI companion.,5,positive
3008,645,"Highly recommended!""",5,positive
3009,645,⭐⭐⭐⭐⭐,5,positive
3010,646,The ChatGPT app for Android has several strengths: 1.,4,neutral
3011,646,"**Convenience**: It allows users to access the power of ChatGPT directly on their Android devices, making it easily accessible whenever they need it.",4,neutral
3012,646,2.,4,neutral
3013,646,**User-Friendly Interface**: The app likely has a user-friendly interface that makes it intuitive for users to interact with the AI.,4,neutral
3014,646,3.,4,neutral
3015,646,"**Versatility**: ChatGPT's capabilities in generating human-like text responses can cater to a wide range of user needs, from answering questions to prov-",4,neutral
3016,647,It's a great AI.,4,neutral
3017,647,"As i am a kid , while using this i feel reliable.",4,neutral
3018,647,"but something is just disturbing me that; Whenever i try to say something about the present situation so it's says, ""AS OF MY KNOWLEDGE UPGRADED IN 2021"".",4,neutral
3019,647,please make sure your app knows Everything.,4,neutral
3020,647,"I am waiting for this app to be updated.. everyone will be Happy if you will update it and by the way if You want to add something so you can show us ads , whenever you will update it.",4,neutral
3021,647,"By the way, it's quite good 😌😊👍🏻.",4,neutral
3022,647,Update !,4,neutral
3023,647,!,4,neutral
3024,647,!,4,neutral
3025,648,"Unfortunately this app doesn't work for me at all, a very disappointing experience so far.",1,negative
3026,648,"When I open it a second time, I get a force close error.",1,negative
3027,648,"I close the app and re-open the app, and the error occurs again.",1,negative
3028,648,Have tried a dozen times and can't open the app.,1,negative
3029,648,Did anyone actual test this app before releasing to production?,1,negative
3030,648,I also think most of the reviews on here are fake.,1,negative
3031,648,I even saw 2 individual reviewers post almost the same identical review.,1,negative
3032,649,"Good for helping you correct your syntax while writing emails, but apart from that, it is quite limited due to its left-wing bias.",2,negative
3033,649,It is trying so hard not to hurt any group's feelings that it becomes annoying to use.,2,negative
3034,649,"When asking for information about most topics all you're gonna get is a bunch of ""as an AI model, I can't and I don't blah blah blah I'm so much of a wuss""",2,negative
3035,650,I would have given it a 5 stars but here are the issues.,3,negative
3036,650,1.,3,negative
3037,650,I can not access my history things so I need still to use the web version.,3,negative
3038,650,2.,3,negative
3039,650,Even it says I'm not here to judge or be discriminating it does.,3,negative
3040,650,3.,3,negative
3041,650,I thought paying would fix this and some more issues but I just lost my money.,3,negative
3042,650,I will keep using it don't get me wrong but not worth the money !,3,negative
3043,651,This is a great app that has failed to understand the importance of accessibility for individuals who are partially sighted or blind.,2,negative
3044,651,Providing an auditory interface would be beneficial for blind or partially sighted individuals to access the information and assistance provided by AI language models like this.,2,negative
3045,651,Please address this issue ASAP.,2,negative
3046,652,Absolutely great.,4,neutral
3047,652,some of the responses are strange and the ai doesn't understand some of the references of certain shows but that's to be expected.,4,neutral
3048,652,still a great digital friend to talk to when your feeling lonely!,4,neutral
3049,653,"I am first who write chatgpt review but chat gpt written here I've been using this app for a while now, and it has been an incredible language assistant.",5,positive
3050,653,"The features it offers are mind-blowing, and the ease of use is fantastic.",5,positive
3051,653,"Its ability to understand and respond to my queries is spot-on, making it a reliable companion for various tasks.I particularly love the app's feather-like responsiveness, ensuring smooth interactions and quick replies.",5,positive
3052,653,"The suggestions it provides are always on point, ma",5,positive
3053,654,"Doesn't even work When I sign up and then log in, it keeps coming up ""Recieved error with code"" ""a0.sdk.internal_error.unknown"" I logged in around 20 TIMES I even used DIFFERENT ACCOUNTS.",1,negative
3054,654,NOTHING WORKED This stupid app doesn't even work.,1,negative
3055,654,"It's a total disaster, it disappointed me and tons of other people.",1,negative
3056,654,"The developers don't even seem to care, they released this app with tons of glitches and errors, and a lot of people even says it lags or straight up just crashes.",1,negative
3057,654,Absolute disgraceful.,1,negative
3058,655,"""ChatGPT falls short in delivering current and comprehensive information.",3,negative
3059,655,"Its knowledge is stuck in the past, and it often struggles with nuanced or complex questions.",3,negative
3060,655,"The limitations are evident, making it frustrating for users seeking up-to-date and accurate responses.",3,negative
3061,655,"This app has significant room for improvement to become a more reliable and valuable tool.""",3,negative
3062,655,A review written by chatgpt on its own🤔🤔🤔,3,negative
3063,656,"NON-INCLUSIVE TO DISABLED PERSONS I gave this app several tries, each time resulting in failure.",1,negative
3064,656,"I then attempted to reach someone (ANYone) connected who might be able to help, but this failed also.",1,negative
3065,656,The prompts section in the beginning of the app is set to reset itself if it feels you are taking too long to complete your entry.,1,negative
3066,656,No warning before you begin or when it's about to do so.,1,negative
3067,656,I have challenges which make me slower than most and this is unacceptable to ChatGPT.,1,negative
3068,656,Shame on you.,1,negative
3069,657,This app is so good 👍 I use it for my Instagram and spares so much time!!!,5,positive
3070,657,"It's also so much better than Google Translate, and translates English to Japanese like a pro.",5,positive
3071,657,I can't even describe how detailed you can make the answers.,5,positive
3072,657,"Even if you forgot to add something, just ask it to add it!!",5,positive
3073,657,So useful and saves my life.,5,positive
3074,657,"Ps, good for homework ;)",5,positive
3075,658,"The ChatGPT app for Android is a standout conversational AI, integrating GPT-4 to deliver coherent, informative, and often creative dialogue.",5,positive
3076,658,"Its interface is user-friendly, making it easy to engage in meaningful conversations.",5,positive
3077,658,"Unique to this app is the user profile feature, offering personalized responses tailored to your needs.",5,positive
3078,658,"For technical queries, expect full-length, well-commented code.",5,positive
3079,658,(note: ChatGPT wrote this),5,positive
3080,659,I'm just surprised it will chat with you like not even human being can do.,5,positive
3081,659,Super amazing AI.,5,positive
3082,659,No matter how long and complicated things you ask it will answer you each and everything of it.,5,positive
3083,659,I'm just curious how much efforts can somebody to for building such kind of amazing technology.,5,positive
3084,659,Unbelievable 😍,5,positive
3085,660,"Sure, here's a review for ChatGPT: ""I've been using the ChatGPT Android app for a while now, and I must say, it's been an incredible tool for various tasks.",5,positive
3086,660,"The app's interface is user-friendly and intuitive, making interactions smooth and seamless.",5,positive
3087,660,"The responses generated by ChatGPT are impressively accurate and relevant, whether I need assistance with brainstorming ideas, seeking information, or even just having a casual conversation.",5,positive
3088,660,The ability to have an AI-powered assistant in my pocket.,5,positive
3089,661,Out side of solving maths and numerical this is a blessing for students like me who is introvert and do not understand concepts at school .,4,neutral
3090,661,the only thing is it messes up calculations sometimes.,4,neutral
3091,661,As a bio student it is manageable but in physics still i kinda use it to like explain me how to do that question and most of the time it gives wrong numerical answer.,4,neutral
3092,661,Other than that I love it,4,neutral
3093,662,"I absolutely love this app I use it all the time, it may give misinformation or misunderstand what your asking but it's like chappe, he's got to learn and he won't know if you don't tell him, duh lol.",5,positive
3094,662,I like to ask it automotive diagnostic questions that I already have the answer too just so I can give it challenges.,5,positive
3095,662,"I am so excited about how much AI is going to change the world guys, if we can get the programming just right and follow protocol, AI could do so much work for us making life easier",5,positive
3096,663,Absolutely amazed by this app!,5,positive
3097,663,ChatGPT is incredibly helpful and versatile.,5,positive
3098,663,"Whether I need quick information or engaging conversations, it always delivers.",5,positive
3099,663,The AI's responses are impressively natural and accurate.,5,positive
3100,663,This app has become an essential part of my daily routine.,5,positive
3101,663,Highly recommended !,5,positive
3102,664,ChatGPT is a versatile AI application designed for natural language understanding and generation.,5,positive
3103,664,"It's capable of assisting with a wide range of tasks, from answering questions and providing explanations to generating creative content and more.",5,positive
3104,664,"Users find it helpful for various purposes, including writing, learning, and problem-solving.",5,positive
3105,664,"However, the experience may vary depending on the specific task and input.",5,positive
3106,664,Feel free to ask if you have any questions or,5,positive
3107,665,Amazing for everything.,5,positive
3108,665,Although adding a feature to snap a picture and request information or meaning from it could be a valuable addition to the app's functionality.,5,positive
3109,666,No plugin options or other GPT4 options on the mobile app?,3,negative
3110,666,Talk about jumping the gun.,3,negative
3111,666,A browser shortcut is better than this.,3,negative
3112,666,The only thing better about the app is it's quicker to delete past conversations because the web method is a pain having to go through multiple clicks.,3,negative
3113,666,This is poor,3,negative
3114,667,amazing speech input.,5,positive
3115,667,this needs to be added to the web version!,5,positive
3116,667,would be great if recent chats would be right there in the hamburger menu and not hidden behind a submenu.,5,positive
3117,667,at least the last 5–10 chats.,5,positive
3118,668,"While ChatGPT itself is great, the app is awful and doesn't function most of the time.",1,negative
3119,668,It was working fine for the most part on release.,1,negative
3120,668,The typing area becomes untappable and unwriteable.,1,negative
3121,668,The previous conversations menu also requires a lot more taps than it should to get to it.,1,negative
3122,668,Running on a Pixel 7 Pro.,1,negative
3123,669,Best app on Google play honestly...,5,positive
3124,669,But there are 2 things that are bothering me: 1.,5,positive
3125,669,"I can't share my chat like when I am on the web, I need to go to the web and copy the linlk.",5,positive
3126,669,2.,5,positive
3127,669,"When I press the burger icon I want to see my previous chats, I don't like the thing that I need to do more clicks to see my history.",5,positive
3128,670,"It is an excellent tool to help fill in the gaps for planning my DnD worlds, campaigns, and sessions.",4,neutral
3129,670,"However, it can be rather repetitive in word choice.",4,neutral
3130,671,But still needs some improvement in brainstorming questions and also in using the microphone options.,4,neutral
